Postcode,Title Number,Tenure,Property Address,District,County,Region,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator,Matching Address,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,Postcode_y,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
E1 1AG,NGL483598,Freehold,"21 Plumbers Row, London (E1 1AG)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,SPARTAFIELD LIMITED,2784265,Limited Company or Public Limited Company,"Summit House, 170 Finchley Road, London",,,,,,,,,,,,,,,,,,,,,06-11-2000,N,21 Plumbers Row,16567645252009050615550602900602,,21 Plumbers Row,,E1 1EQ,623252600000,62,C,Office,2008-11-24,E09000030,E14000555,Greater London Authority,2009-05-06,Mandatory issue (Marketed sale).,64,151,4,Grid Supplied Electricity,,,,1049,33.44,20.03,58.69,29.84,Yes,,2.0,1,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2009-05-06 15:55:06,176,6706230,Address Matched
E1 1BJ,AGL479492,Leasehold,"210 Whitechapel Road, London (E1 1BJ)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,AN TRAVEL LIMITED,5116120,Limited Company or Public Limited Company,"210 Whitechapel Road, London E1 1BJ",,,,,,,,,,,,,,,,,,,,,17-06-2019,N,210 Whitechapel Road,125012524212017082314000200009876,,210 Whitechapel Road,,E1 1BJ,864040170000,84,D,A1/A2 Retail and Financial/Professional services,2017-08-22,E09000030,E14000555,Greater London Authority,2017-08-23,Mandatory issue (Marketed sale).,26,77,3,Grid Supplied Electricity,,,,108,69.11,36.29,106.35,116.29,No,,,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2017-08-23 14:00:02,688,6012744,Address Matched
E1 1BS,EGL505252,Leasehold,"238-240 Whitechapel Road, London (E1 1BS)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,BARCLAYS BANK UK PLC,9740322,Limited Company or Public Limited Company,"1 Churchill Place, London E14 5HP","45 Church Street, Birmingham B3 2RT",,,,,,,,,,,,,,,,,,,,08-05-2018,N,238-240 Whitechapel Road,148284990062019090216465809280810,,238-240 Whitechapel Road,,E1 1BJ,100892920000,89,D,A1/A2 Retail and Financial/Professional services,2019-08-28,E09000030,E14000555,Greater London Authority,2019-09-02,Mandatory issue (Property to let).,29,85,3,Natural Gas,,,,1377,36.01,20.82,61.02,63.94,No,,,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2019-09-02 16:46:58,376,,
E1 1BY,AGL512241,Leasehold,"285 Whitechapel Road, London (E1 1BY)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,488750.0,PLACES FOR LONDON LIMITED,8961151,Limited Company or Public Limited Company,"5 Endeavour Square, London E20 1JN","7th Floor, Green zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,30-07-2020,N,285 Whitechapel Road,07f05604fc3aa886725fcbfd28e38cb4bbd20500d7a4cb25957e69b19f21d44c,285 Whitechapel Road,305 Whitechapel Road,,E1 1BY,10004379900,88,D,Retail/Financial and Professional Services,2022-11-12,E09000030,E14000555,Greater London Authority,2023-04-01,Mandatory issue (Property to let).,7,29,3,Grid Supplied Electricity,,,,308,7.98,1.16,4.66,14.02,No,,1.0,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,London,2023-04-01 10:05:09,151,6011545,Address Matched
E1 1DB,AGL497543,Leasehold,"243 Whitechapel Road, London (E1 1DB)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,488750.0,PLACES FOR LONDON LIMITED,8961151,Limited Company or Public Limited Company,"5 Endeavour Square, London E20 1JN","7th Floor, Green zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,02-01-2020,N,243 Whitechapel Road,111804290202016042511322622400240,,243 Whitechapel Road,,E1 1DB,921829420000,63,C,A1/A2 Retail and Financial/Professional services,2016-04-22,E09000030,E14000555,Greater London Authority,2016-04-25,Mandatory issue (Property to let).,24,71,3,Grid Supplied Electricity,,,,200,54.55,26.42,77.42,68.77,Yes,,1.0,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2016-04-25 11:32:26,689,6011552,Address Matched
E1 1DE,AGL512254,Leasehold,"209 Whitechapel Road, London (E1 1DE)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,488750.0,PLACES FOR LONDON LIMITED,8961151,Limited Company or Public Limited Company,"5 Endeavour Square, London E20 1JN","7th Floor, Green zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,30-07-2020,N,209 Whitechapel Road,60962c8952c8f71ea94c02cfe3c0712fc2a49caa8116e01ef42bb966888afa83,209 Whitechapel Road,217 Whitechapel Road,,E1 1DE,10002501987,85,D,A1/A2 Retail and Financial/Professional services,2021-12-22,E09000030,E14000555,Greater London Authority,2021-12-24,Mandatory issue (Property to let).,29,84,3,Grid Supplied Electricity,,,,221,33.08,19.04,55.8,56.31,Yes,,1.0,5,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2021-12-24 10:59:53,332,6011564,Energy Assessor
E1 1DN,AGL532313,Leasehold,"195-195a Whitechapel Road, London (E1 1DN)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,PLACES FOR LONDON LIMITED,8961151,Limited Company or Public Limited Company,"5 Endeavour Square, London E20 1JN","7th Floor, Green zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,30-04-2021,N,195-195a Whitechapel Road,adf36692a84cd656497182aa3fdb761e820288af257afd10f31f6374c1352c08,195-195a Whitechapel Road,,,E1 1DN,10002939572,35,B,Retail/Financial and Professional Services,2022-06-09,E09000030,E14000555,,2022-06-22,Mandatory issue (Property to let).,6,23,3,Grid Supplied Electricity,,,,154,30.69,3.6,14.39,21.5,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2022-06-22 14:51:09,228,,
E1 1DT,234969,Freehold,"105 Whitechapel Road, London (E1 1DT)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,1400000.0,ZECO PROPERTIES LIMITED,11125605,Limited Company or Public Limited Company,"Enterprise House, 34 Faringdon Avenue, Romford RM3 8SU",,,,,,,,,,,,,,,,,,,,,15-11-2023,N,105 Whitechapel Road,360c147de7f13a72089623ab0f8d3c0025b3dd922aa70aee4d44213e4e1a860f,105 Whitechapel Road,,,E1 1DT,10004517508,48,B,Retail/Financial and Professional Services,2023-05-22,E09000030,E14000555,,2023-05-22,Mandatory issue (Marketed sale),11,43,3,Grid Supplied Electricity,,,,199,20.26,4.35,17.45,19.57,Yes,,1.0,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2023-05-22 18:36:30,212,6011574,Energy Assessor
E1 1DU,41516,Freehold,"29 Whitechapel Road, London (E1 1DU)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,980000.0,SARVOY LIMITED,7285940,Limited Company or Public Limited Company,"217 East India Dock Road, London E14 0ED",,,,,,,,,,,,,,,,,,,,,16-02-2011,N,29 Whitechapel Road,47950300902011030812395353400070,25 Whitechapel Road,29 Whitechapel Road,,E1 1DX,198660450000,111,E,Office,2011-03-07,E09000030,E14000555,Greater London Authority,2011-03-08,Mandatory issue (Property to let).,36,62,3,Grid Supplied Electricity,,,,408,57.79,41.05,71.97,128.51,No,,1.0,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2011-03-08 12:39:53,276,6011586,Energy Assessor
E1 1EE,EGL199783,Freehold,"Cityside House, 40 Adler Street, London (E1 1EE)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,KNIGHTON ESTATES LIMITED,379493,Limited Company or Public Limited Company,"33 Cavendish Square, London W1G 0PW",,,,,,,,,,,,,,,,,,,,,26-06-2017,N,"Cityside House, 40 Adler Street",15371040062009050815232692040720,Challenger House,Cityside House,40 Adler Street,E1 1EE,293941230000,76,D,Office,2009-04-03,E09000030,E14000555,Greater London Authority,2009-05-08,Voluntary (No legal requirement for an EPC).,46,104,4,Natural Gas,,,,6901,99.8,70.23,187.27,44.45,Yes,,2.0,3,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2009-05-08 15:23:26,437,6011107,Address Matched
E1 1EG,AGL407234,Leasehold,"Unit 26, 1-13 Adler Street, London (E1 1EG)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,INKORPORATE LIMITED,5986290,Limited Company or Public Limited Company,"30 City Road, London EC1Y 2AB",,,,,,,,,,,,,,,,,,,,,15-03-2017,N,"Unit 26, 1-13 Adler Street",8aecbb3d62aca98eb1640c2624a507e86aacb31d2bf8616e976b87132a3bb7d7,Unit 26,1-13 Adler Street,,E1 1EG,10002537651,73,C,B1 Offices and Workshop businesses,2021-10-21,E09000030,E14000555,,2021-10-24,Mandatory issue (Property to let).,22,64,3,Grid Supplied Electricity,,,,204,32.06,14.08,41.25,46.85,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2021-10-24 22:13:30,277,6012367,Energy Assessor
E1 1EJ,EGL556970,Leasehold,"75 Greenfield Road, London (E1 1EJ)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,JENICE LEATHER INTERNATIONAL LIMITED,4548936,Limited Company or Public Limited Company,"75 Greenfield Road, London E1 1EJ","2nd and 3rd Floors, 75 Greenfield Road, London E1 1EJ",,,,,,,,,,,,,,,,,,,,02-07-2009,N,75 Greenfield Road,6063020302008120514401484809290,,75 Greenfield Road,,E1 1EJ,733472880000,100,D,Office,2008-11-24,E09000030,E14000555,Greater London Authority,2008-12-05,Mandatory issue (Property to let).,57,132,4,Natural Gas,,,,2101,39.17,22.69,66.49,63.67,No,,,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2008-12-05 14:40:14,377,6710665,Address Matched
E1 1EZ,AGL593154,Leasehold,"22 Plumbers Row, London (E1 1EZ)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,HADIYAH LIMITED,12281388,Limited Company or Public Limited Company,"54 Greenfield Road, London E1 1EJ","22 Plumbers Row, London E1 1EZ",,,,,,,,,,,,,,,,,,,,30-09-2022,N,22 Plumbers Row,27b6f4da28d2b6cba1a76c05f5fea05639d13274891c3dbec1e568acd03341a0,22 Plumbers Row,,,E1 1EZ,10004671400,46,B,Retail/Financial and Professional Services,2023-06-06,E09000030,E14000555,,2023-06-14,Mandatory issue (Property to let).,12,49,4,Grid Supplied Electricity,,,,302,15.55,3.83,15.36,14.32,Yes,,2.0,5,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2023-06-20 03:59:25,158,6138552,Energy Assessor
E1 1HH,AGL405041,Leasehold,"49-53 New Road, London (E1 1HH)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,SAHARA GRILL WHITECHAPEL LIMITED,8064476,Limited Company or Public Limited Company,"49-53 New Road, London E1 1HH",,,,,,,,,,,,,,,,,,,,,22-02-2017,N,49-53 New Road,64617009952012051809145702009642,81 New Road,49-53 New Road,,E1 1HH,624292440000,72,C,C1 Hotels,2012-05-10,E09000030,E14000555,Greater London Authority,2012-05-18,Mandatory issue (Marketed sale).,34,90,3,Natural Gas,,,,1086,99.34,67.4,179.74,143.33,Yes,,1.0,5,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2012-05-18 09:14:57,588,6012958,Address Matched
E1 1HJ,LN82456,Freehold,"115 New Road, London (E1 1HJ)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,300000.0,GRATEFAME LIMITED,1432182,Limited Company or Public Limited Company,"2 Beal Road, Ilford, Essex IG1 4QF",,,,,,,,,,,,,,,,,,,,,11-09-1991,N,115 New Road,97195335912014120418272006909177,119 New Road,115 New Road,,E1 1HJ,179056470000,86,D,A1/A2 Retail and Financial/Professional services,2014-11-17,E09000030,E14000555,Greater London Authority,2014-12-04,Mandatory issue (Property to let).,27,80,4,Natural Gas,,,,403,38.92,21.23,62.2,67.17,Yes,,1.0,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2014-12-04 18:27:20,254,6210000,Address Matched
E1 1HL,AGL233035,Leasehold,"The Whitechapel Centre, Myrdle Street, London (E1 1HL)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,WHITECHAPEL COMMUNITY TRUST CIC,6226590,Housing Association/Society (Corporate Body),"Unit 3, The Whitechapel Centre, Myrdle Street, London E1 1HL",,,,,,,,,,,,,,,,,,,,,23-05-2011,N,"The Whitechapel Centre, Myrdle Street",44024330962010111713325312990630,,The Whitechapel Centre,Myrdle Street,E1 1HL,313631250000,63,C,Office,2010-11-16,E09000030,E14000555,Greater London Authority,2010-11-17,Mandatory issue (Non-marketed sale).,33,65,4,Natural Gas,,,,2554,32.82,21.85,42.53,41.37,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2010-11-17 13:32:53,,,
E1 1JE,AGL259611,Leasehold,"100 Whitechapel Road, London (E1 1JE)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,1016187,Limited Company or Public Limited Company,"1 Shortlands, Hammersmith W6 8DR","7th Floor, Yellow Zone, 197 Blackfriars Road, London SE1 8NJ",,,,,,,,,,,,,,,,,,,,29-06-2012,N,100 Whitechapel Road,64573050062012051516500541950590,,100 Whitechapel Road,,E1 1JG,949055130000,38,B,C1 Hotels,2012-05-15,E09000030,E14000555,Greater London Authority,2012-05-15,Mandatory issue (Property on construction).,34,92,4,Natural Gas,,,,3627,99.35,68.39,182.38,74.9,No,,,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2012-05-15 16:50:05,,6011531,Address Matched
E1 1JG,AGL423805,Leasehold,"100 Whitechapel Road, London (E1 1JG)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,1016187,Limited Company or Public Limited Company,"10 Hammersmith Grove, London W6 7AP",,,,,,,,,,,,,,,,,,,,,25-09-2017,N,100 Whitechapel Road,64573050062012051516500541950590,,100 Whitechapel Road,,E1 1JG,949055130000,38,B,C1 Hotels,2012-05-15,E09000030,E14000555,Greater London Authority,2012-05-15,Mandatory issue (Property on construction).,34,92,4,Natural Gas,,,,3627,99.35,68.39,182.38,74.9,No,,,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2012-05-15 16:50:05,,6011531,Address Matched
E1 1JU,AGL236253,Freehold,"103 Fieldgate Street, London (E1 1JU)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,,M3 VENTURE LTD,7056172,Limited Company or Public Limited Company,"299a Bethnal Green Road, London E2 6AH","28b Lampard Grove, London N16 6XB",,,,,,,,,,,,,,,,,,,,14-07-2011,N,103 Fieldgate Street,97ea387409d09431e2e2e9e87754bfed5a396c74b00fd8eceeb2f6509e653db1,103 Fieldgate Street,,,E1 1JU,10004937848,71,C,Retail/Financial and Professional Services,2023-08-08,E09000030,E14000555,,2023-08-15,Mandatory issue (Property to let).,7,29,3,Grid Supplied Electricity,,,,64,16.7,2.39,9.57,23.57,No,,,4,Heating and Natural Ventilation,Tower Hamlets,Bethnal Green and Bow,LONDON,2023-08-16 13:22:22,247,6011756,Energy Assessor
E1 1JW,AGL440439,Freehold,"Jobcentre Plus, Settles Street, London (E1 1JW)",TOWER HAMLETS,GREATER LONDON,GREATER LONDON,N,8650000.0,HIGHROSE ESTATES LIMITED,11087406,Limited Company or Public Limited Company,"New Burlington House, 1075 Finchley Road, London NW11 0PU",,,,,,,,,,,,,,,,,,,,,03-04-2018,N,"Jobcentre Plus, Settles Street",848872952017111710305809909316,,Jobcentre Plus,Settles Street,E1 1JW,362429110000,109,E,B1 Offices and Workshop businesses,2017-10-13,E09000030,E14000555,Greater London Authority,2017-11-17,Mandatory issue (Marketed sale).,30,89,4,Natural Gas,,,,2245,29.88,18.22,53.39,65.03,No,,,4,Air Conditioning,Tower Hamlets,Bethnal Green and Bow,LONDON,2017-11-17 10:30:58,380,,
